"iso","adm1","alert__year","alert__week","alert__count","confidence__cat"
"USA",21,2012,9,1,"h"
"USA",21,2012,13,1,"h"
"USA",21,2012,14,1,"h"
"USA",21,2012,16,1,"h"
"USA",21,2012,22,1,"h"
"USA",21,2012,43,1,"h"
"USA",21,2013,14,1,"h"
"USA",21,2013,15,2,"h"
"USA",21,2013,17,2,"h"
"USA",21,2013,40,3,"h"
"USA",21,2014,8,1,"h"
"USA",21,2014,15,1,"h"
"USA",21,2014,24,1,"h"
"USA",21,2015,42,2,"h"
"USA",21,2016,10,1,"h"
"USA",21,2016,13,1,"h"
"USA",21,2016,42,1,"h"
"USA",21,2016,48,1,"h"
"USA",21,2017,10,5,"h"
"USA",21,2017,19,1,"h"
"USA",21,2017,43,1,"h"
"USA",21,2017,48,1,"h"
"USA",21,2018,15,1,"h"
"USA",21,2018,21,1,"h"
"USA",21,2019,14,2,"h"
"USA",21,2019,15,3,"h"
"USA",21,2019,17,1,"h"
"USA",21,2019,42,1,"h"
"USA",21,2020,8,1,"h"
"USA",21,2020,12,3,"h"
"USA",21,2021,8,2,"h"
"USA",21,2021,9,1,"h"
"USA",21,2021,10,1,"h"
"USA",21,2022,12,1,"h"
"USA",21,2022,15,1,"h"
"USA",21,2022,47,1,"h"
"USA",21,2024,43,1,"h"
"USA",21,2024,49,2,"h"
"USA",21,2025,10,5,"h"
"USA",21,2025,11,2,"h"
