Establishment ID,Name,Address 1,Address 2,City,Zip,Inspection Date,Inspection Results,Inspection Type,Owner,Category,Type,Latitude,Longitude,Location
60447,EAT A LAO,1327 ROCKVILLE PIKE,"UNIT I, J, K",ROCKVILLE,20852,09/12/2024,No Critical Violations Noted,Pre-Opening - Environmental,MOO KANA LLC,Restaurant,Food,39.0683,-77.1302,POINT (-77.1302 39.0683)
63688,SAKE JAPANESE STEAKHOUSE,11006 VEIRS MILL RD,,SILVER SPRING,20902,06/25/2024,No Critical Violations Noted,Pre-Opening - Environmental,WHEATON HIBACHI INC,Restaurant,Food,39.0355,-77.052,POINT (-77.052 39.0355)
63696,JAVA FRESH CAFE,"11160 VEIRS MILL RD, SPACE 9242",,SILVER SPRING,20902,06/25/2024,No Critical Violations Noted,Pre-Opening - Environmental,JAFFAR FOODS INC,Market,Food,39.0352,-77.0551,POINT (-77.0551 39.0352)
57214,TOKYO HIBACHI,9615 LOST KNIFE RD,,GAITHERSBURG,20877,06/17/2024,No Critical Violations Noted,Pre-Opening - Environmental,XING RONG INC,Restaurant,Food,39.1528,-77.1965,POINT (-77.1965 39.1528)
57233,KUSSHI JAPANESE RESTAURANT,"36 MARYLAND AVE, UNIT G",,ROCKVILLE,20850,06/14/2024,No Critical Violations Noted,Pre-Opening - Environmental,KUSSHI ROCKVILLE TOWN SQUARE LLC,Restaurant,Food,39.0859,-77.1508,POINT (-77.1508 39.0859)
62658,SAN PANCHO,7056 CARROLL AVE,,TAKOMA PARK,20912,06/13/2024,No Critical Violations Noted,Pre-Opening - Environmental,SAN PANCHO LLC,Restaurant,Food,38.9755,-77.0105,POINT (-77.0105 38.9755)
20891,DUNKIN DONUTS,12168 DARNESTOWN RD.,,GAITHERSBURG,20878,06/11/2024,No Critical Violations Noted,Pre-Opening - Environmental,DMD DARNESTOWN 12168 LLC,Restaurant,Food,39.1168,-77.2526,POINT (-77.2526 39.1168)
18564,OLNEY MILL SWIM CLUB SNACK BAR,3611 BRIARS RD.,,OLNEY,20833,06/10/2024,No Critical Violations Noted,Pre-Opening - Environmental,OLNEY MILL SWIM CLUB,Snack Bar,Food,39.1692,-77.0718,POINT (-77.0718 39.1692)
55062,HAN SPOT,9811 WASHINGTON BLVD,,GAITHERSBURG,20879,06/10/2024,No Critical Violations Noted,Pre-Opening - Environmental,HAN SPOT LLC,Restaurant,Food,39.1192,-77.203,POINT (-77.203 39.1192)
61625,OLNEY BOYS AND GIRLS CLUB,4501 OLNEY LAYTONSVILLE RD,,OLNEY,20832,06/08/2024,No Critical Violations Noted,Pre-Opening - Environmental,ROBERT PERRY/ TASTE INCORPORATED,Seasonal,Food,39.1723,-77.0912,POINT (-77.0912 39.1723)
