"LOCATION_CODE","Occupancy_Right_Desc","OWNED_OR_LEASED_INDICATOR","REGION_CODE","STREET_ADDRESS","CITY","STATE_CD","ZIPCODE5","Latitude","Longitude","BUILDING_RSF","BLD_VACANT_RSF","YEAR_BUILT","WALK_SCORE","TRANSIT_SCORE","CONGRESSIONAL_DISTRICT_CODE","Fed_POC","Fed_POC_Email","REPRESENTATIVE","REPRESENTATIVE_URL","LEASE_NUM","LEASE_EFFECTIVE_DATE","LEASE_EXPIRATION_DATE"
"DC0236","Owned","F","11","2701 MARTIN LUTHER KING JR AVE SE","WASHINGTON","DC","20032","38.85361","-77.000351","5,135","0","2012","3","62","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0112","Owned","F","11","717 MADISON PL NW","WASHINGTON","DC","20005","38.8989924","-77.035073","9,535","0","1828","98","100","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0365","Leased","L","11","409 3RD ST SW","WASHINGTON","DC","20024","38.8846","-77.015741","295,457","0","2000","76","91","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0365","Leased","D","11","409 3RD ST SW","WASHINGTON","DC","20024","38.8846","-77.015741","295,457","0","","","","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","LDC00569","11/23/2022","11/22/2042"
"DC0365","Leased","D","11","409 3RD ST SW","WASHINGTON","DC","20024","38.8846","-77.015741","295,457","0","","76","91","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","LDC02050","10/14/2008","10/13/2028"
"DC0365","Leased","D","11","409 3RD ST SW","WASHINGTON","DC","20024","38.8846","-77.015741","295,457","0","","","","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","LDC00652","8/26/2023","8/25/2033"
"DC1268","Owned","F","11","2025 E ST NW","WASHINGTON","DC","20006","38.89642","-77.045801","0","0","","92","86","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0113","Owned","F","11","717 MADISON PL NW","WASHINGTON","DC","20005","38.8989924","-77.035073","10,988","0","1910","98","100","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0432","Leased","L","11","1120 20TH ST NW","WASHINGTON","DC","20036","38.90459","-77.045381","36,035","0","2000","98","94","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0432","Leased","D","11","1120 20TH ST NW","WASHINGTON","DC","20036","38.90459","-77.045381","36,035","0","","","","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","LDC00579","4/23/2023","4/22/2038"
"DC0432","Leased","D","11","1120 20TH ST NW","WASHINGTON","DC","20036","38.90459","-77.045381","36,035","0","","98","94","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","LDC00413","8/8/2020","8/7/2035"
"DC0697","Owned","F","11","1201 4TH ST SE","WASHINGTON","DC","20003","38.875833","-77.001098","606,836","0","2019","94","75","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0522","Owned","F","11","1301 CONSTITUTION AVE NW","WASHINGTON","DC","20004","38.89272","-77.030351","413,494","14,861","1934","73","100","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC1460","Owned","F","11","2701 MARTIN LUTHER KING JR AVE SE","WASHINGTON","DC","20032","38.85361","-77.000351","30,950","0","1856","3","62","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC1426","Owned","F","11","NEBRASKA AVENUE COMPLEX","WASHINGTON","DC","20016","38.9380879","-77.080496","7,205","0","1986","65","55","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0407","Leased","L","11","445 12TH ST SW","WASHINGTON","DC","20024","38.8838629","-77.028144","431,785","0","2000","76","90","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0407","Leased","D","11","445 12TH ST SW","WASHINGTON","DC","20024","38.8838629","-77.028144","431,785","0","","","","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","LDC00296","12/31/2021","12/30/2036"
"DC0098","Leased","L","11","175 N ST NE","WASHINGTON","DC","20002","38.9071856","-77.006252","345,380","0","2000","91","84","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0098","Leased","D","11","175 N ST NE","WASHINGTON","DC","20002","38.9071856","-77.006252","345,380","0","","91","84","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","LDC12712","2/10/2017","2/9/2032"
"DC0545","Owned","F","11","2701 SOUTH CAPITOL STREET SW","WASHINGTON","DC","20373","38.856656","-77.005377","667","0","1996","16","65","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0422","Leased","L","11","1301 K ST NW","WASHINGTON","DC","20005","38.90292","-77.030551","23,425","0","2000","99","100","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0422","Leased","D","11","1301 K ST NW","WASHINGTON","DC","20005","38.90292","-77.030551","23,425","0","","99","100","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","LDC12722","10/31/2016","10/30/2026"
"DC0394","Owned","F","11","1000 INDEPENDENCE AVE SW","WASHINGTON","DC","20585","38.8856177","-77.026639","7,824","0","1990","73","92","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0576","Leased","L","11","955 LENFANT PLZ SW","WASHINGTON","DC","20024","38.88424","-77.025272","27,714","0","2000","81","93","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0576","Leased","D","11","955 LENFANT PLZ SW","WASHINGTON","DC","20024","38.88424","-77.025272","27,714","0","","81","93","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","LDC12656","3/22/2016","3/21/2026"
"DC0703","Leased","L","11","1400 K ST NW","WASHINGTON","DC","20005","38.90213","-77.032411","33,490","16,497","2000","99","100","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0703","Leased","D","11","1400 K ST NW","WASHINGTON","DC","20005","38.90213","-77.032411","33,490","16,497","","99","100","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","LDC12595","3/13/2013","9/12/2026"
"DC0042","Owned","F","11","1651 PENNSYLVANIA AVE NW","WASHINGTON","DC","20503","38.899017","-77.038596","51,961","0","1824","98","100","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0045","Leased","L","11","1717 H ST NW","WASHINGTON","DC","20006","38.90053","-77.040591","40,767","0","2009","100","100","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
"DC0045","Leased","D","11","1717 H ST NW","WASHINGTON","DC","20006","38.90053","-77.040591","40,767","0","","100","100","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","LDC02027","3/15/2009","12/30/2028"
"DC0045","Leased","D","11","1717 H ST NW","WASHINGTON","DC","20006","38.90053","-77.040591","40,767","0","","100","100","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","LDC00057","1/31/2017","1/30/2027"
"DC1450","Owned","F","11","2701 MARTIN LUTHER KING JR AVE SE","WASHINGTON","DC","20032","38.85361","-77.000351","0","0","1899","3","62","1198","Tiffany Wilson","tiffany.greason@gsa.gov ","Norton, Eleanor (D)","https://norton.house.gov/","","",""
