"LOCATION_CODE","Occupancy_Right_Desc","OWNED_OR_LEASED_INDICATOR","REGION_CODE","STREET_ADDRESS","CITY","STATE_CD","ZIPCODE5","Latitude","Longitude","BUILDING_RSF","BLD_VACANT_RSF","YEAR_BUILT","WALK_SCORE","TRANSIT_SCORE","CONGRESSIONAL_DISTRICT_CODE","Fed_POC","Fed_POC_Email","SENATOR1","SENATOR1_URL","SENATOR2","SENATOR2_URL","REPRESENTATIVE","REPRESENTATIVE_URL","LEASE_NUM","LEASE_EFFECTIVE_DATE","LEASE_EXPIRATION_DATE"
"MD1008","Leased","L","3","1718 WOODLAWN DR","WOODLAWN","MD","21207","39.31476","-76.737771","160,810","0","2000","52","56","2407","Dorothy Grosick","dorothy.grosick@gsa.gov","Cardin, Benjamin L. (D)","https://www.cardin.senate.gov/","Van Hollen, Chris (D)","https://www.vanhollen.senate.gov","Mfume, Kweisi (D)","https://mfume.house.gov/","","",""
"MD1008","Leased","D","3","1718 WOODLAWN DR","WOODLAWN","MD","21207","39.31476","-76.737771","160,810","0","","52","56","2407","Dorothy Grosick","dorothy.grosick@gsa.gov","Cardin, Benjamin L. (D)","https://www.cardin.senate.gov/","Van Hollen, Chris (D)","https://www.vanhollen.senate.gov","Mfume, Kweisi (D)","https://mfume.house.gov/","LMD00174","12/31/2018","12/30/2028"
"MD0823","Owned","F","11","10903 NEW HAMPSHIRE AVE","SILVER SPRING","MD","20993","39.036501","-76.982792","87,917","0","1945","13","57","2408","Tiffany Wilson","tiffany.greason@gsa.gov ","Cardin, Benjamin L. (D)","https://www.cardin.senate.gov/","Van Hollen, Chris (D)","https://www.vanhollen.senate.gov","Raskin, Jamie (D)","https://raskin.house.gov","","",""
"MD1131","Leased","L","3","807 WOODS RD","CAMBRIDGE","MD","21613","38.55551","-76.059061","5,278","0","2000","40","","2401","Dorothy Grosick","dorothy.grosick@gsa.gov","Cardin, Benjamin L. (D)","https://www.cardin.senate.gov/","Van Hollen, Chris (D)","https://www.vanhollen.senate.gov","Harris, Andy (R)","https://harris.house.gov/","","",""
"MD1131","Leased","D","3","807 WOODS RD","CAMBRIDGE","MD","21613","38.55551","-76.059061","5,278","0","","40","","2401","Dorothy Grosick","dorothy.grosick@gsa.gov","Cardin, Benjamin L. (D)","https://www.cardin.senate.gov/","Van Hollen, Chris (D)","https://www.vanhollen.senate.gov","Harris, Andy (R)","https://harris.house.gov/","LMD00057","3/5/2020","3/4/2030"
"MD1825","Leased","L","11","30 W GUDE DR","ROCKVILLE","MD","20850","39.10574","-77.159591","10,646","0","2000","68","48","2408","Tiffany Wilson","tiffany.greason@gsa.gov ","Cardin, Benjamin L. (D)","https://www.cardin.senate.gov/","Van Hollen, Chris (D)","https://www.vanhollen.senate.gov","Raskin, Jamie (D)","https://raskin.house.gov","","",""
"MD1825","Leased","D","11","30 W GUDE DR","ROCKVILLE","MD","20850","39.10574","-77.159591","10,646","0","","68","48","2408","Tiffany Wilson","tiffany.greason@gsa.gov ","Cardin, Benjamin L. (D)","https://www.cardin.senate.gov/","Van Hollen, Chris (D)","https://www.vanhollen.senate.gov","Raskin, Jamie (D)","https://raskin.house.gov","LMD00380","9/28/2018","9/27/2028"
"MD1046","Leased","L","3","4420 BUCKEYSTOWN PIKE","FREDERICK","MD","21704","39.35461","-77.423361","229,459","0","2000","14","","2406","Dorothy Grosick","dorothy.grosick@gsa.gov","Cardin, Benjamin L. (D)","https://www.cardin.senate.gov/","Van Hollen, Chris (D)","https://www.vanhollen.senate.gov","Trone, David (D)","https://trone.house.gov","","",""
"MD1046","Leased","D","3","4420 BUCKEYSTOWN PIKE","FREDERICK","MD","21704","39.35461","-77.423361","229,459","0","","14","","2406","Dorothy Grosick","dorothy.grosick@gsa.gov","Cardin, Benjamin L. (D)","https://www.cardin.senate.gov/","Van Hollen, Chris (D)","https://www.vanhollen.senate.gov","Trone, David (D)","https://trone.house.gov","LMD06310","1/31/2006","1/30/2026"
"MD1819","Leased","L","11","12101 INDIAN CREEK CT","BELTSVILLE","MD","20705","39.05662","-76.896551","24,083","0","2000","17","31","2404","Tiffany Wilson","tiffany.greason@gsa.gov ","Cardin, Benjamin L. (D)","https://www.cardin.senate.gov/","Van Hollen, Chris (D)","https://www.vanhollen.senate.gov","Ivey, Glenn (D)","https://ivey.house.gov","","",""
"MD1819","Leased","D","11","12101 INDIAN CREEK CT","BELTSVILLE","MD","20705","39.05662","-76.896551","24,083","0","","17","31","2404","Tiffany Wilson","tiffany.greason@gsa.gov ","Cardin, Benjamin L. (D)","https://www.cardin.senate.gov/","Van Hollen, Chris (D)","https://www.vanhollen.senate.gov","Ivey, Glenn (D)","https://ivey.house.gov","LMD01941","1/27/2008","1/26/2028"
"MD0511","Leased","L","3","1010 PARK AVE","BALTIMORE","MD","21201","39.3041921","-76.620022","41,510","0","2001","95","96","2407","Dorothy Grosick","dorothy.grosick@gsa.gov","Cardin, Benjamin L. (D)","https://www.cardin.senate.gov/","Van Hollen, Chris (D)","https://www.vanhollen.senate.gov","Mfume, Kweisi (D)","https://mfume.house.gov/","","",""
"MD0511","Leased","D","3","1010 PARK AVE","BALTIMORE","MD","21201","39.3041921","-76.620022","41,510","0","","95","96","2407","Dorothy Grosick","dorothy.grosick@gsa.gov","Cardin, Benjamin L. (D)","https://www.cardin.senate.gov/","Van Hollen, Chris (D)","https://www.vanhollen.senate.gov","Mfume, Kweisi (D)","https://mfume.house.gov/","LMD00487","1/11/2020","1/10/2035"
"MD0816","Owned","F","11","10903 NEW HAMPSHIRE AVE, BLDG 62","SILVER SPRING","MD","20993","39.0374074","-76.983202","136,634","0","2007","13","57","2408","Tiffany Wilson","tiffany.greason@gsa.gov ","Cardin, Benjamin L. (D)","https://www.cardin.senate.gov/","Van Hollen, Chris (D)","https://www.vanhollen.senate.gov","Raskin, Jamie (D)","https://raskin.house.gov","","",""
"MD1832","Owned","F","11","10903 NEW HAMPSHIRE AVE","SILVER SPRING","MD","20993","39.036501","-76.982792","0","0","2009","13","57","2408","Tiffany Wilson","tiffany.greason@gsa.gov ","Cardin, Benjamin L. (D)","https://www.cardin.senate.gov/","Van Hollen, Chris (D)","https://www.vanhollen.senate.gov","Raskin, Jamie (D)","https://raskin.house.gov","","",""
"MD0346","Owned","F","11","8501M MUIRKIRK RD","LAUREL","MD","20708","39.055894","-76.859554","7,836","0","1996","9","","2404","Tiffany Wilson","tiffany.greason@gsa.gov ","Cardin, Benjamin L. (D)","https://www.cardin.senate.gov/","Van Hollen, Chris (D)","https://www.vanhollen.senate.gov","Ivey, Glenn (D)","https://ivey.house.gov","","",""
"MD1130","Leased","L","3","10310 GOVERNOR LANE BLVD","WILLIAMSPORT","MD","21795","39.5958246","-77.805131","8,886","0","2000","17","","2406","Dorothy Grosick","dorothy.grosick@gsa.gov","Cardin, Benjamin L. (D)","https://www.cardin.senate.gov/","Van Hollen, Chris (D)","https://www.vanhollen.senate.gov","Trone, David (D)","https://trone.house.gov","","",""
"MD1130","Leased","D","3","10310 GOVERNOR LANE BLVD","WILLIAMSPORT","MD","21795","39.5958246","-77.805131","8,886","0","","17","","2406","Dorothy Grosick","dorothy.grosick@gsa.gov","Cardin, Benjamin L. (D)","https://www.cardin.senate.gov/","Van Hollen, Chris (D)","https://www.vanhollen.senate.gov","Trone, David (D)","https://trone.house.gov","LMD12136","11/19/2015","11/18/2030"
